cat_url,product_url,category,side_bar_item,side_bar_url
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-honey-lemon-squash-500ml-8850773530066,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-mixed-berry-juice-98percent-1000ml-8850773510341,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-guava-juice-98percent-1000ml-8850773510280,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikham-passion-fruit-squash-500ml-8850773530035,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-tongtin-madi-sparkling-kombucha-original-flavor-330ml-8857120592050,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doikhom-strawberry-squash-500ml-8850773530028,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doi-kham-soya-milk-powder-400g-8850773107046,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-doi-kham-instant-lemon-grass-drink-10g-12sachets-8850773107114,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/beverages,https://www.tops.co.th/en/otop-tongtin-oyu-brown-rice-tea-112g-8857200680516,Beverages,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikham-tomato-juice-98percent-1000ml-8850773510327,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikam-jiaogulan-and-safflower-drink-with-steviol-glycoside-500ml-8850773510594,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikham-sam-gler-herbal-drink-500ml-8850773511362,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/healthiful,https://www.tops.co.th/en/otop-doikham-mango-juice-100percent-1000ml-8850773510334,Healthiful,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
